date,day_of_year,releases,top_1_gross,top_10_gross,total_gross,year,day_of_month,is_weekend,total_gross_lag7,7_day_rolling_total,30_day_rolling_total,daily_returns,is_holiday,weekday_sin,weekday_cos,month_sin,month_cos,quarter_sin,quarter_cos,day_of_year_sin,day_of_year_cos,is_pandemic
2020-03-12,72,54,1872846,5321431,6021218,2020,12,0,6320334.0,19164747.42857143,20854986.866666667,-20.959961060308473,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.945320046913132,0.3261441535642696,1
2020-03-13,73,52,3993234,17977298,19193482,2020,13,0,29249807.0,17728129.57142857,21269851.2,218.76411051717443,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.9507903724625832,0.3098349038318025,1
2020-03-14,74,50,4675724,19710626,21357187,2020,14,1,44106328.0,14478252.285714285,21761296.1,11.273123865695656,0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.9559793438440766,0.2934339689665273,1
2020-03-15,75,51,2687350,11892439,12837436,2020,15,1,26681081.0,12500588.714285715,20261541.066666666,-39.89172825054161,0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.9608854255574977,0.27694620226893646,1
2020-03-16,76,47,753347,3234151,3552228,2020,16,0,8003719.0,11864661.42857143,18518882.3,-72.32914734686895,0,0.0,1.0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.9655071658143364,0.2603764827344581,1
2020-03-17,77,40,346334,1321687,1393371,2020,17,0,12473145.0,10281836.57142857,17170817.233333334,-60.774730676071464,0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.969843196967294,0.24372971360968387,1
2020-03-18,78,37,61529,246568,260798,2020,18,0,7617934.0,9230817.142857144,16280502.166666666,-81.28294617872771,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.9738922359149924,0.22701082094141847,1
2020-03-19,79,34,33296,143641,153046,2020,19,0,6021218.0,8392506.857142856,15791529.866666667,-41.31626776278959,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.9776530844816641,0.2102247521189836,1
2020-03-20,80,1,110,110,110,2020,20,0,19193482.0,5650596.571428572,15503958.033333333,-99.92812618428447,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.981124629771712,0.19337647441020586,1
2020-03-21,81,1,106,106,106,2020,21,1,21357187.0,2599585.0,15232937.866666667,-3.6363636363636376,0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.984305844499033,0.17647097349152166,1
2020-03-22,82,1,24,24,24,2020,22,1,12837436.0,765669.0,14243669.1,-77.35849056603774,0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.9871957872910085,0.15951325197263655,1
2020-03-23,83,1,12,12,12,2020,23,0,3552228.0,258209.57142857142,12760541.833333334,-50.0,0,0.0,1.0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.9897936029670716,0.14250832791617088,1
2020-03-24,84,1,4,4,4,2020,24,0,1393371.0,59157.142857142855,11833260.766666668,-66.66666666666667,0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.992098522791769,0.12546123335273648,1
2020-03-25,85,1,173,173,173,2020,25,0,260798.0,21925.0,11613098.133333333,4225.0,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.9941098647022418,0.10837701279187609,1
2020-03-26,86,1,24,24,24,2020,26,0,153046.0,64.71428571428571,11238600.066666666,-86.12716763005781,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.9958270335100595,0.09126072172931188,1
2020-03-27,87,1,192,192,192,2020,27,0,110.0,76.42857142857143,10939567.433333334,700.0,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.9972495210773451,0.07411742515094437,1
2020-04-03,94,1,471,471,471,2020,3,0,106.0,128.57142857142858,10715599.733333332,145.3125,0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9989315138848577,-0.046215046983708354,1
2020-04-04,95,1,582,582,582,2020,4,1,24.0,208.28571428571428,9796617.866666667,23.566878980891715,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9979887423155984,-0.06339140486951038,1
2020-04-05,96,1,141,141,141,2020,5,1,12.0,226.71428571428572,8377469.8,-75.77319587628865,0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9967506498213929,-0.08054900421874167,1
2020-04-06,97,1,126,126,126,2020,6,0,4.0,244.14285714285714,7490414.8,-10.63829787234043,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9952176027737294,-0.09768276782171598,1
2020-04-07,98,1,174,174,174,2020,7,0,173.0,244.28571428571428,7260530.4,38.095238095238095,0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9933900548258936,-0.11478762552212701,1
2020-04-08,99,1,279,279,279,2020,8,0,24.0,280.7142857142857,6876484.366666666,60.3448275862069,0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9912685467787256,-0.13185851571739118,1
2020-04-09,100,1,297,297,297,2020,9,0,192.0,295.7142857142857,6640794.3,6.451612903225801,0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9888537064205885,-0.1488903868564548,1
2020-04-10,101,2,846,1395,1395,2020,10,0,471.0,427.7142857142857,6430163.0,369.69696969696975,0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.986146248341595,-0.16587819893463143,1
2020-04-11,102,2,582,1164,1164,2020,11,1,582.0,510.85714285714283,5455208.233333333,-16.559139784946243,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9831469737221499,-0.1828169249850199,1
2020-04-12,103,2,282,564,564,2020,12,1,141.0,571.2857142857143,3985016.1,-51.546391752577314,0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9798567700958665,-0.1997015525660636,1
2020-04-13,104,2,276,552,552,2020,13,0,126.0,632.1428571428571,3095665.1333333333,-2.127659574468088,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9762766110869321,-0.21652708524481437,1
2020-04-14,105,2,336,672,672,2020,14,0,174.0,703.2857142857143,2828896.9,21.739130434782616,0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9724075561219968,-0.23328854407545518,1
2020-04-15,106,2,102,204,204,2020,15,0,279.0,692.5714285714286,2413132.2,-69.64285714285714,0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9682507501166718,-0.2499809690726521,1
2020-04-16,107,2,363,726,726,2020,16,0,297.0,753.8571428571429,2159225.2666666666,255.88235294117646,0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9638074231367307,-0.26659942067929354,1
2020-04-17,108,3,591,1298,1298,2020,17,0,1395.0,740.0,1958561.2666666666,78.78787878787878,0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9590788900341131,-0.28313898122818354,1
2020-04-18,109,3,909,1967,1967,2020,18,1,1164.0,854.7142857142857,1318844.1,51.540832049306616,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9540665500578387,-0.2995947563972602,1
2020-04-19,110,2,990,1980,1980,2020,19,1,564.0,1057.0,607003.8666666667,0.6609049313675674,0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9487718864399473,-0.31596187665790293,1
2020-04-20,111,2,261,522,522,2020,20,0,552.0,1052.7142857142858,179106.73333333334,-73.63636363636363,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9431964659565866,-0.33223549871590435,1
2020-04-21,112,2,600,1200,1200,2020,21,0,672.0,1128.142857142857,60739.13333333333,129.88505747126436,0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9373419384643772,-0.3484108069446808,1
2020-04-22,113,2,207,414,414,2020,22,0,204.0,1158.142857142857,14307.233333333334,-65.5,0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9312100364121947,-0.3644830148102912,1
2020-04-23,114,2,705,1410,1410,2020,23,0,726.0,1255.857142857143,5660.966666666666,240.57971014492753,0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9248025743285089,-0.38044736628785164,1
2020-04-24,115,2,3065,3803,3803,2020,24,0,1298.0,1613.7142857142858,686.2,169.7163120567376,0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9181214482844364,-0.39629913726891813,1
2020-04-25,116,2,4868,5804,5804,2020,25,1,1967.0,2161.8571428571427,876.0,52.61635550880883,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9111686353326631,-0.41203363695942635,1
2020-04-26,117,2,1906,2455,2455,2020,26,1,1980.0,2229.714285714286,954.3,-57.701585113714685,0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9039461929224011,-0.42764620926777464,1
2020-04-27,118,2,1042,1303,1303,2020,27,0,522.0,2341.285714285714,996.9333333333333,-46.924643584521384,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.8964562582905575,-0.44313223418263453,1
2020-04-28,119,2,1224,1464,1464,2020,28,0,1200.0,2379.0,1045.3333333333333,12.356101304681498,0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.8887010478292915,-0.45848712914008766,1
2020-04-29,120,2,1156,1393,1393,2020,29,0,414.0,2518.8571428571427,1091.6333333333334,-4.849726775956286,0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.8806828564301475,-0.47370635037968,1
2020-04-30,121,2,1769,2009,2009,2020,30,0,1410.0,2604.4285714285716,1152.8333333333333,44.22110552763818,0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.8724040568049612,-0.48878539428899265,1
2020-05-01,122,2,26506,31712,31712,2020,1,0,3803.0,6591.428571428572,2209.1,1478.4967645594825,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.8638670987837349,-0.503719798736334,1
2020-05-02,123,2,26797,32447,32447,2020,2,1,5804.0,10397.57142857143,3284.266666666667,2.31773461150353,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.8550745085896932,-0.518505144391157,1
