date,total_gross
2013-11-10,202895790
2013-11-17,177097613
2013-11-24,257322729
2013-12-01,335623735
2013-12-08,131533305
2013-12-15,177123593
2013-12-22,205027023
2013-12-29,399559453
2014-01-05,311559356
2014-01-12,188438035
2014-01-19,223170152
2014-01-26,186030734
2014-02-02,120250574
2014-02-09,177879629
2014-02-16,215324682
2014-02-23,171791836
2014-03-02,150756180
2014-03-09,177939545
2014-03-16,161440640
2014-03-23,173846466
2014-03-30,183981112
2014-04-06,204544810
2014-04-13,181342226
2014-04-20,192086107
2014-04-27,159606438
2014-05-04,184574627
2014-05-11,171599024
2014-05-18,217206651
2014-05-25,237508211
2014-06-01,252087510
2014-06-08,224356533
2014-06-15,256896449
2014-06-22,230383798
2014-06-29,249720322
2014-07-06,238234079
2014-07-13,218204813
2014-07-20,221866272
2014-07-27,221590651
2014-08-03,254415895
2014-08-10,267009864
2014-08-17,225709760
2014-08-24,168275835
2014-08-31,145068910
2014-09-07,112789719
2014-09-14,107333167
2014-09-21,123310100
2014-09-28,133579715
2014-10-05,179121523
2014-10-12,188606449
2014-10-19,183775298
2014-10-26,154075303
2014-11-02,127764016
2014-11-09,189417220
2014-11-16,197701026
2014-11-23,224237426
2014-11-30,265882523
2014-12-07,107285141
2014-12-14,104556914
2014-12-21,194405870
2014-12-28,358414049
2015-01-04,332163187
2015-01-11,165566282
2015-01-18,238166884
2015-01-25,250148657
2015-02-01,138159050
2015-02-08,179351641
2015-02-15,242796738
2015-02-22,189720629
2015-03-01,138937668
2015-03-08,115155654
2015-03-15,158906133
2015-03-22,171933867
2015-03-29,185845665
2015-04-05,273776444
2015-04-12,214102517
2015-04-19,149314742
2015-04-26,127135568
2015-05-03,255709493
2015-05-10,188250098
2015-05-17,218796706
2015-05-24,209368279
2015-05-31,211513867
2015-06-07,187632470
2015-06-14,326035664
2015-06-21,365214808
2015-06-28,292715496
2015-07-05,257475167
2015-07-12,294637143
2015-07-19,290515616
2015-07-26,240544321
2015-08-02,226153448
2015-08-09,209329098
2015-08-16,209577339
2015-08-23,171333514
2015-08-30,127926269
2015-09-06,120888681
2015-09-13,143762513
2015-09-20,137401860
2015-09-27,171184332
2015-10-04,186831488
2015-10-11,159362390
2015-10-18,161943080
2015-10-25,140516981
2015-11-01,102893772
2015-11-08,185939181
2015-11-15,165299855
2015-11-22,200555814
2015-11-29,294327185
2015-12-06,134742213
2015-12-13,106312263
2015-12-20,339720262
2015-12-27,493864333
2016-01-03,447762818
2016-01-10,226386510
2016-01-17,216511222
2016-01-24,181277188
2016-01-31,175173314
2016-02-07,126510104
2016-02-14,264461615
2016-02-21,226115135
2016-02-28,150355703
2016-03-06,192517695
2016-03-13,178893235
2016-03-20,182706969
2016-03-27,301569675
2016-04-03,213944867
2016-04-10,141989262
2016-04-17,203807434
2016-04-24,176003208
2016-05-01,144842441
2016-05-08,265390971
2016-05-15,190728987
2016-05-22,173724563
2016-05-29,205408045
